function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,split,home,direction
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,0.6,H3,normal
OR (ai),0.4967,0.7094,0.5084,0.4844,0.993,0.00694,0.658,0.342,1430,10,3034,1574,0.6,H3,reverse
OR (ai),0.411,0.7675,0.4521,0.3631,0.928,0.0716,0.703,0.297,532,41,1825,770,0.7,H3,normal
OR (ai),0.4855,0.7173,0.495,0.4757,0.994,0.00616,0.67,0.33,1613,10,3546,1743,0.7,H3,reverse
OR (ai),0.4534,0.7393,0.4614,0.4451,0.929,0.0714,0.694,0.306,442,34,1068,472,0.8,H3,normal
OR (ai),0.4643,0.7319,0.4858,0.4408,0.99,0.00988,0.678,0.322,1703,17,4303,2041,0.8,H3,reverse
Nonparametric,0.7376,0.5123,0.849,0.0,0.0,1.0,0.0,1.0,0,2116,0,5948,0.2,H3,normal
Nonparametric,0.8438,0.3953,0.9129,0.241,0.625,0.375,0.147,0.853,50,30,285,1651,0.2,H3,reverse
Nonparametric,0.7319,0.5177,0.8439,0.05113,0.0267,0.973,0.00628,0.994,52,1897,33,5218,0.3,H3,normal
Nonparametric,0.8608,0.3731,0.919,0.5031,0.822,0.178,0.136,0.864,203,44,357,2276,0.3,H3,reverse
Nonparametric,0.7437,0.5062,0.8517,0.05718,0.03,0.97,0.00625,0.994,47,1522,28,4451,0.4,H3,normal
Nonparametric,0.8063,0.4401,0.8841,0.4115,0.435,0.565,0.125,0.875,273,354,427,2978,0.4,H3,reverse
Nonparametric,0.8057,0.4407,0.8882,0.2601,0.17,0.83,0.035,0.965,177,862,145,4000,0.5,H3,normal
Nonparametric,0.7486,0.5014,0.8461,0.3142,0.244,0.756,0.0952,0.905,282,875,356,3383,0.5,H3,reverse
Nonparametric,0.813,0.4324,0.8896,0.39,0.319,0.681,0.073,0.927,241,515,239,3037,0.6,H3,normal
Nonparametric,0.7657,0.484,0.863,0.1926,0.117,0.883,0.0317,0.968,169,1271,146,4462,0.6,H3,reverse
Nonparametric,0.8046,0.442,0.8839,0.3841,0.337,0.663,0.0921,0.908,193,380,239,2356,0.7,H3,normal
Nonparametric,0.7716,0.478,0.8669,0.194,0.117,0.883,0.0276,0.972,190,1433,146,5143,0.7,H3,reverse
Nonparametric,0.7718,0.4777,0.8669,0.2014,0.122,0.878,0.0273,0.973,58,418,42,1498,0.8,H3,normal
Nonparametric,0.7646,0.4851,0.8518,0.4283,0.413,0.587,0.14,0.86,711,1009,889,5455,0.8,H3,reverse
AR predictions (aie),0.7376,0.5123,0.849,0.0,0.0,1.0,0.0,1.0,0,2116,0,5948,0.2,H3,normal
AR predictions (aie),0.9355,0.2539,0.9664,0.1975,0.2,0.8,0.0341,0.966,16,64,66,1870,0.2,H3,reverse
AR predictions (aie),0.7293,0.5203,0.8435,0.0,0.0,1.0,0.0,1.0,0,1949,0,5251,0.3,H3,normal
AR predictions (aie),0.9299,0.2648,0.9621,0.5302,0.462,0.538,0.0262,0.974,114,133,69,2564,0.3,H3,reverse
AR predictions (aie),0.7877,0.4608,0.8746,0.3074,0.182,0.818,0.0,1.0,285,1284,0,4479,0.4,H3,normal
AR predictions (aie),0.9142,0.2929,0.9505,0.6772,0.579,0.421,0.0241,0.976,363,264,82,3323,0.4,H3,reverse
AR predictions (aie),0.7996,0.4477,0.8886,0.0,0.0,1.0,0.0,1.0,0,1039,0,4145,0.5,H3,normal
AR predictions (aie),0.8533,0.3829,0.9093,0.6165,0.499,0.501,0.0369,0.963,577,580,138,3601,0.5,H3,reverse
AR predictions (aie),0.8346,0.4067,0.9074,0.2271,0.13,0.87,0.00275,0.997,98,658,9,3267,0.6,H3,normal
AR predictions (aie),0.8565,0.3788,0.9123,0.6051,0.462,0.538,0.0202,0.98,665,775,93,4515,0.6,H3,reverse
AR predictions (aie),0.8605,0.3735,0.9211,0.3962,0.253,0.747,0.00539,0.995,145,428,14,2581,0.7,H3,normal
AR predictions (aie),0.8589,0.3756,0.9146,0.5949,0.441,0.559,0.0129,0.987,716,907,68,5221,0.7,H3,reverse
AR predictions (aie),0.8358,0.4052,0.9022,0.4884,0.332,0.668,0.00844,0.992,158,318,13,1527,0.8,H3,normal
AR predictions (aie),0.8682,0.3631,0.9212,0.5963,0.456,0.544,0.0202,0.98,785,935,128,6216,0.8,H3,reverse
ground truth AR,0.9421,0.2406,0.9653,0.8261,0.833,0.167,0.0364,0.964,475,95,105,2781,0.2,H5,normal
ground truth AR,0.9815,0.1361,0.9793,0.9833,0.975,0.0249,0.0105,0.99,470,12,4,378,0.2,H5,reverse
ground truth AR,0.9517,0.2198,0.9716,0.8374,0.824,0.176,0.0257,0.974,394,84,69,2621,0.3,H5,normal
ground truth AR,0.9696,0.1743,0.9702,0.9691,0.955,0.0453,0.0156,0.984,548,26,9,569,0.3,H5,reverse
ground truth AR,0.9618,0.1954,0.9785,0.8313,0.822,0.178,0.02,0.98,244,53,46,2249,0.4,H5,normal
ground truth AR,0.9508,0.2218,0.9571,0.9424,0.921,0.0795,0.0257,0.974,695,60,25,948,0.4,H5,reverse
ground truth AR,0.9648,0.1875,0.9801,0.8492,0.841,0.159,0.0187,0.981,228,43,38,1995,0.5,H5,normal
ground truth AR,0.9509,0.2216,0.9605,0.9352,0.914,0.0858,0.0259,0.974,714,67,32,1203,0.5,H5,reverse
ground truth AR,0.9688,0.1768,0.9825,0.8556,0.838,0.162,0.015,0.985,160,31,23,1514,0.6,H5,normal
ground truth AR,0.9522,0.2187,0.9647,0.9258,0.899,0.101,0.0214,0.979,774,87,37,1694,0.6,H5,reverse
ground truth AR,0.9681,0.1787,0.9824,0.8296,0.812,0.188,0.0154,0.985,112,26,20,1282,0.7,H5,normal
ground truth AR,0.9517,0.2197,0.9652,0.9213,0.891,0.109,0.0198,0.98,814,100,39,1927,0.7,H5,reverse
ground truth AR,0.9676,0.18,0.9827,0.7358,0.722,0.278,0.016,0.984,39,15,13,797,0.8,H5,normal
ground truth AR,0.9476,0.2289,0.9639,0.9045,0.859,0.141,0.0163,0.984,857,141,40,2418,0.8,H5,reverse
OR (aie),0.8351,0.4061,0.9101,0.0,0.0,1.0,0.0,1.0,0,570,0,2886,0.2,H5,normal
OR (aie),0.4421,0.7469,0.6132,0.0,0.0,1.0,0.0,1.0,0,482,0,382,0.2,H5,reverse
OR (aie),0.8491,0.3884,0.9184,0.0,0.0,1.0,0.0,1.0,0,478,0,2690,0.3,H5,normal
OR (aie),0.5017,0.7059,0.6682,0.0,0.0,1.0,0.0,1.0,0,574,0,578,0.3,H5,reverse
OR (aie),0.8854,0.3385,0.9392,0.0,0.0,1.0,0.0,1.0,0,297,0,2295,0.4,H5,normal
OR (aie),0.5631,0.661,0.7205,0.0,0.0,1.0,0.0,1.0,0,755,0,973,0.4,H5,reverse
OR (aie),0.8824,0.343,0.9375,0.0,0.0,1.0,0.0,1.0,0,271,0,2033,0.5,H5,normal
OR (aie),0.6126,0.6224,0.7598,0.0,0.0,1.0,0.0,1.0,0,781,0,1235,0.5,H5,reverse
OR (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,0.6,H5,normal
OR (aie),0.6678,0.5763,0.8008,0.0,0.0,1.0,0.0,1.0,0,861,0,1731,0.6,H5,reverse
OR (aie),0.9042,0.3096,0.9497,0.0,0.0,1.0,0.0,1.0,0,138,0,1302,0.7,H5,normal
OR (aie),0.6826,0.5633,0.8114,0.0,0.0,1.0,0.0,1.0,0,914,0,1966,0.7,H5,reverse
OR (aie),0.9375,0.25,0.9677,0.0,0.0,1.0,0.0,1.0,0,54,0,810,0.8,H5,normal
OR (aie),0.7112,0.5374,0.8312,0.0,0.0,1.0,0.0,1.0,0,998,0,2458,0.8,H5,reverse
OR (ai),0.4421,0.7469,0.5087,0.3548,0.93,0.0702,0.654,0.346,530,40,1888,998,0.2,H5,normal
OR (ai),0.6863,0.5601,0.4503,0.7806,1.0,0.0,0.709,0.291,482,0,271,111,0.2,H5,reverse
OR (ai),0.4265,0.7573,0.4999,0.3278,0.927,0.0732,0.662,0.338,443,35,1782,908,0.3,H5,normal
OR (ai),0.6684,0.5758,0.5128,0.7487,0.991,0.00871,0.652,0.348,569,5,377,201,0.3,H5,reverse
OR (ai),0.439,0.749,0.5372,0.288,0.99,0.0101,0.632,0.368,294,3,1451,844,0.4,H5,normal
OR (ai),0.5689,0.6566,0.4157,0.6584,0.951,0.049,0.728,0.272,718,37,708,265,0.4,H5,reverse
OR (ai),0.4492,0.7421,0.5466,0.2985,0.996,0.00369,0.624,0.376,270,1,1268,765,0.5,H5,normal
OR (ai),0.5387,0.6792,0.4252,0.6147,0.95,0.0499,0.721,0.279,742,39,891,344,0.5,H5,reverse
OR (ai),0.441,0.7477,0.5422,0.2823,0.995,0.00524,0.628,0.372,190,1,965,572,0.6,H5,normal
OR (ai),0.5243,0.6897,0.4655,0.5714,0.955,0.0453,0.69,0.31,822,39,1194,537,0.6,H5,reverse
OR (ai),0.4264,0.7574,0.536,0.2491,0.993,0.00725,0.634,0.366,137,1,825,477,0.7,H5,normal
OR (ai),0.5233,0.6905,0.4793,0.5604,0.957,0.0427,0.679,0.321,875,39,1334,632,0.7,H5,reverse
OR (ai),0.4259,0.7577,0.5587,0.1788,1.0,0.0,0.612,0.388,54,0,496,314,0.8,H5,normal
OR (ai),0.5072,0.702,0.4828,0.5294,0.96,0.0401,0.677,0.323,958,40,1663,795,0.8,H5,reverse
Nonparametric,0.5909,0.6396,0.7113,0.2979,0.526,0.474,0.396,0.604,300,270,1144,1742,0.2,H5,normal
Nonparametric,0.4502,0.7415,0.6166,0.02863,0.0145,0.985,0.0,1.0,7,475,0,382,0.2,H5,reverse
Nonparametric,0.6449,0.5959,0.7744,0.166,0.234,0.766,0.282,0.718,112,366,759,1931,0.3,H5,normal
Nonparametric,0.4896,0.7144,0.65,0.05769,0.0314,0.969,0.0554,0.945,18,556,32,546,0.3,H5,reverse
Nonparametric,0.7801,0.4689,0.8702,0.2803,0.374,0.626,0.167,0.833,111,186,384,1911,0.4,H5,normal
Nonparametric,0.5735,0.6531,0.7243,0.05875,0.0305,0.97,0.00514,0.995,23,732,5,968,0.4,H5,reverse
Nonparametric,0.7661,0.4837,0.8616,0.244,0.321,0.679,0.175,0.825,87,184,355,1678,0.5,H5,normal
Nonparametric,0.6181,0.618,0.7621,0.03266,0.0166,0.983,0.00162,0.998,13,768,2,1233,0.5,H5,reverse
Nonparametric,0.8044,0.4423,0.8878,0.2387,0.277,0.723,0.13,0.87,53,138,200,1337,0.6,H5,normal
Nonparametric,0.6543,0.5879,0.7836,0.1418,0.0859,0.914,0.063,0.937,74,787,109,1622,0.6,H5,reverse
Nonparametric,0.8632,0.3699,0.9236,0.3498,0.384,0.616,0.086,0.914,53,85,112,1190,0.7,H5,normal
Nonparametric,0.5868,0.6428,0.6757,0.4306,0.492,0.508,0.369,0.631,450,464,726,1240,0.7,H5,reverse
Nonparametric,0.9097,0.3005,0.9511,0.4091,0.5,0.5,0.063,0.937,27,27,51,759,0.8,H5,normal
Nonparametric,0.6314,0.6072,0.7307,0.4161,0.455,0.545,0.297,0.703,454,544,730,1728,0.8,H5,reverse
AR predictions (aie),0.8351,0.4061,0.9101,0.0,0.0,1.0,0.0,1.0,0,570,0,2886,0.2,H5,normal
AR predictions (aie),0.4421,0.7469,0.6132,0.0,0.0,1.0,0.0,1.0,0,482,0,382,0.2,H5,reverse
AR predictions (aie),0.8491,0.3884,0.9184,0.0,0.0,1.0,0.0,1.0,0,478,0,2690,0.3,H5,normal
AR predictions (aie),0.5017,0.7059,0.6682,0.0,0.0,1.0,0.0,1.0,0,574,0,578,0.3,H5,reverse
AR predictions (aie),0.8854,0.3385,0.9392,0.0,0.0,1.0,0.0,1.0,0,297,0,2295,0.4,H5,normal
AR predictions (aie),0.5631,0.661,0.7205,0.0,0.0,1.0,0.0,1.0,0,755,0,973,0.4,H5,reverse
AR predictions (aie),0.8824,0.343,0.9375,0.0,0.0,1.0,0.0,1.0,0,271,0,2033,0.5,H5,normal
AR predictions (aie),0.6126,0.6224,0.7598,0.0,0.0,1.0,0.0,1.0,0,781,0,1235,0.5,H5,reverse
AR predictions (aie),0.8895,0.3325,0.9415,0.0,0.0,1.0,0.0,1.0,0,191,0,1537,0.6,H5,normal
AR predictions (aie),0.6678,0.5763,0.8008,0.0,0.0,1.0,0.0,1.0,0,861,0,1731,0.6,H5,reverse
AR predictions (aie),0.9042,0.3096,0.9497,0.0,0.0,1.0,0.0,1.0,0,138,0,1302,0.7,H5,normal
AR predictions (aie),0.6826,0.5633,0.8114,0.0,0.0,1.0,0.0,1.0,0,914,0,1966,0.7,H5,reverse
AR predictions (aie),0.9375,0.25,0.9677,0.0,0.0,1.0,0.0,1.0,0,54,0,810,0.8,H5,normal
AR predictions (aie),0.7112,0.5374,0.8312,0.0,0.0,1.0,0.0,1.0,0,998,0,2458,0.8,H5,reverse
ground truth AR,0.957,0.2074,0.9473,0.9637,0.951,0.0493,0.0336,0.966,5092,264,120,3452,0.2,H6,normal
ground truth AR,0.9688,0.1768,0.9797,0.9319,0.933,0.0671,0.0206,0.979,431,31,32,1522,0.2,H6,reverse
ground truth AR,0.9525,0.2178,0.9388,0.9613,0.941,0.0592,0.0278,0.972,4578,288,81,2829,0.3,H6,normal
ground truth AR,0.9564,0.2087,0.9688,0.9281,0.936,0.0641,0.0347,0.965,891,61,77,2139,0.3,H6,reverse
ground truth AR,0.9521,0.2188,0.9327,0.9629,0.944,0.0556,0.033,0.967,4110,242,75,2197,0.4,H6,normal
ground truth AR,0.9493,0.2252,0.9615,0.9256,0.93,0.0703,0.0406,0.959,1363,103,116,2738,0.4,H6,reverse
ground truth AR,0.9432,0.2384,0.9072,0.959,0.937,0.0633,0.041,0.959,3641,246,65,1520,0.5,H6,normal
ground truth AR,0.947,0.2302,0.9587,0.9259,0.938,0.0616,0.0483,0.952,1812,119,171,3370,0.5,H6,reverse
ground truth AR,0.9477,0.2287,0.9127,0.9627,0.942,0.0582,0.0374,0.963,3107,192,49,1260,0.6,H6,normal
ground truth AR,0.9478,0.2286,0.9563,0.9351,0.947,0.0532,0.0516,0.948,2385,134,197,3620,0.6,H6,reverse
ground truth AR,0.9398,0.2453,0.867,0.9611,0.937,0.0634,0.0478,0.952,2570,174,34,678,0.7,H6,normal
ground truth AR,0.9415,0.2419,0.9499,0.9298,0.943,0.0569,0.0596,0.94,2899,175,263,4151,0.7,H6,reverse
ground truth AR,0.9518,0.2195,0.923,0.965,0.946,0.0545,0.0334,0.967,1528,88,23,665,0.8,H6,normal
ground truth AR,0.9455,0.2335,0.9468,0.9441,0.947,0.0526,0.0563,0.944,3981,221,250,4188,0.8,H6,reverse
OR (aie),0.5317,0.6843,0.5632,0.4954,0.383,0.617,0.246,0.754,2052,3304,877,2695,0.2,H6,normal
OR (aie),0.5709,0.655,0.658,0.4245,0.69,0.31,0.465,0.535,319,143,722,832,0.2,H6,reverse
OR (aie),0.5342,0.6825,0.5587,0.5068,0.382,0.618,0.212,0.788,1861,3005,617,2293,0.3,H6,normal
OR (aie),0.5505,0.6704,0.6341,0.4173,0.536,0.464,0.443,0.557,510,442,982,1234,0.3,H6,reverse
OR (aie),0.5429,0.6761,0.5563,0.5286,0.39,0.61,0.165,0.835,1698,2654,374,1898,0.4,H6,normal
OR (aie),0.5329,0.6835,0.6175,0.4001,0.459,0.541,0.429,0.571,673,793,1225,1629,0.4,H6,reverse
OR (aie),0.5466,0.6733,0.5408,0.5522,0.394,0.606,0.0782,0.922,1530,2357,124,1461,0.5,H6,normal
OR (aie),0.5312,0.6847,0.617,0.396,0.436,0.564,0.417,0.583,841,1090,1475,2066,0.5,H6,reverse
OR (aie),0.579,0.6489,0.5625,0.5943,0.431,0.569,0.0474,0.953,1421,1878,62,1247,0.6,H6,normal
OR (aie),0.5098,0.7002,0.5948,0.3795,0.377,0.623,0.403,0.597,950,1569,1537,2280,0.6,H6,reverse
OR (aie),0.5616,0.6621,0.4828,0.6196,0.45,0.55,0.00702,0.993,1234,1510,5,707,0.7,H6,normal
OR (aie),0.5284,0.6867,0.615,0.3917,0.37,0.63,0.361,0.639,1137,1937,1594,2820,0.7,H6,reverse
OR (aie),0.6207,0.6159,0.6098,0.6309,0.462,0.538,0.00727,0.993,747,869,5,683,0.8,H6,normal
OR (aie),0.5171,0.6949,0.5769,0.4377,0.386,0.614,0.359,0.641,1624,2578,1594,2844,0.8,H6,reverse
OR (ai),0.6518,0.5901,0.3195,0.766,0.95,0.0499,0.796,0.204,5089,267,2842,730,0.2,H6,normal
OR (ai),0.3115,0.8298,0.194,0.3991,0.998,0.00216,0.893,0.107,461,1,1387,167,0.2,H6,reverse
OR (ai),0.6714,0.5732,0.3275,0.7826,0.945,0.0549,0.786,0.214,4599,267,2288,622,0.3,H6,normal
OR (ai),0.387,0.7829,0.2207,0.4948,0.999,0.00105,0.876,0.124,951,1,1941,275,0.3,H6,reverse
OR (ai),0.6849,0.5613,0.2816,0.7982,0.949,0.0515,0.82,0.18,4128,224,1863,409,0.4,H6,normal
OR (ai),0.4421,0.7469,0.2882,0.5413,0.97,0.03,0.829,0.171,1422,44,2366,488,0.4,H6,reverse
OR (ai),0.7259,0.5236,0.2918,0.83,0.942,0.0576,0.805,0.195,3663,224,1276,309,0.5,H6,normal
OR (ai),0.4523,0.7401,0.2818,0.5574,0.977,0.0228,0.834,0.166,1887,44,2953,588,0.5,H6,reverse
OR (ai),0.722,0.5273,0.2791,0.8278,0.933,0.0667,0.811,0.189,3079,220,1061,248,0.6,H6,normal
OR (ai),0.4924,0.7124,0.2875,0.6058,0.981,0.0191,0.83,0.17,2471,48,3168,649,0.6,H6,reverse
OR (ai),0.776,0.4732,0.2886,0.8671,0.92,0.0798,0.779,0.221,2525,219,555,157,0.7,H6,normal
OR (ai),0.5028,0.7051,0.2845,0.6191,0.984,0.0159,0.832,0.168,3025,49,3674,740,0.7,H6,reverse
OR (ai),0.6853,0.561,0.2982,0.7972,0.882,0.118,0.776,0.224,1425,191,534,154,0.8,H6,normal
OR (ai),0.5634,0.6607,0.2826,0.6862,0.982,0.0183,0.833,0.167,4125,77,3695,743,0.8,H6,reverse
Nonparametric,0.5408,0.6777,0.607,0.4477,0.31,0.69,0.114,0.886,1662,3694,406,3166,0.2,H6,normal
Nonparametric,0.6086,0.6256,0.6655,0.5284,0.957,0.0433,0.495,0.505,442,20,769,785,0.2,H6,reverse
Nonparametric,0.5298,0.6857,0.5842,0.4592,0.319,0.681,0.118,0.882,1552,3314,342,2568,0.3,H6,normal
Nonparametric,0.6411,0.5991,0.6599,0.6201,0.975,0.0252,0.502,0.498,928,24,1113,1103,0.3,H6,reverse
Nonparametric,0.5208,0.6922,0.5365,0.5041,0.371,0.629,0.191,0.809,1613,2739,435,1837,0.4,H6,normal
Nonparametric,0.5903,0.6401,0.5535,0.6215,0.991,0.00887,0.616,0.384,1453,13,1757,1097,0.4,H6,reverse
Nonparametric,0.4466,0.7439,0.4501,0.4432,0.31,0.69,0.218,0.782,1205,2682,346,1239,0.5,H6,normal
Nonparametric,0.5654,0.6592,0.4994,0.6161,0.988,0.0119,0.665,0.335,1908,23,2355,1186,0.5,H6,reverse
Nonparametric,0.4972,0.7091,0.4598,0.5297,0.396,0.604,0.247,0.753,1305,1994,323,986,0.6,H6,normal
Nonparametric,0.5811,0.6472,0.4908,0.6442,0.954,0.0461,0.665,0.335,2403,116,2538,1279,0.6,H6,reverse
Nonparametric,0.4126,0.7664,0.3269,0.479,0.34,0.66,0.308,0.692,933,1811,219,493,0.7,H6,normal
Nonparametric,0.4105,0.7678,0.0,0.5821,1.0,0.0,1.0,0.0,3074,0,4414,0,0.7,H6,reverse
Nonparametric,0.5512,0.6699,0.4772,0.6068,0.494,0.506,0.314,0.686,798,818,216,472,0.8,H6,normal
Nonparametric,0.6644,0.5794,0.6069,0.7071,0.833,0.167,0.495,0.505,3501,701,2199,2239,0.8,H6,reverse
AR predictions (aie),0.4001,0.7745,0.5715,0.0,0.0,1.0,0.0,1.0,0,5356,0,3572,0.2,H6,normal
AR predictions (aie),0.4683,0.7292,0.5042,0.4267,0.864,0.136,0.649,0.351,399,63,1009,545,0.2,H6,reverse
AR predictions (aie),0.4995,0.7075,0.5865,0.3661,0.231,0.769,0.0515,0.948,1124,3742,150,2760,0.3,H6,normal
AR predictions (aie),0.5486,0.6719,0.55,0.5472,0.908,0.0924,0.606,0.394,864,88,1342,874,0.3,H6,reverse
AR predictions (aie),0.6057,0.628,0.5768,0.6309,0.513,0.487,0.217,0.783,2232,2120,492,1780,0.4,H6,normal
AR predictions (aie),0.5322,0.684,0.5657,0.4931,0.671,0.329,0.539,0.461,983,483,1538,1316,0.4,H6,reverse
AR predictions (aie),0.5667,0.6583,0.527,0.6002,0.458,0.542,0.167,0.833,1780,2107,264,1321,0.5,H6,normal
AR predictions (aie),0.4212,0.7608,0.2005,0.5465,0.988,0.0119,0.888,0.112,1908,23,3144,397,0.5,H6,reverse
AR predictions (aie),0.5822,0.6463,0.4957,0.6435,0.527,0.473,0.277,0.723,1737,1562,363,946,0.6,H6,normal
AR predictions (aie),0.4107,0.7677,0.1202,0.557,0.932,0.0683,0.933,0.0668,2347,172,3562,255,0.6,H6,reverse
AR predictions (aie),0.5411,0.6774,0.3646,0.6409,0.516,0.484,0.361,0.639,1415,1329,257,455,0.7,H6,normal
AR predictions (aie),0.5895,0.6407,0.7417,0.0,0.0,1.0,0.0,1.0,0,3074,0,4414,0.7,H6,reverse
AR predictions (aie),0.5538,0.668,0.4679,0.6158,0.51,0.49,0.343,0.657,824,792,236,452,0.8,H6,normal
AR predictions (aie),0.5137,0.6974,0.6787,0.0,0.0,1.0,0.0,1.0,0,4202,0,4438,0.8,H6,reverse
